#YYYYmmdd HHMMSS.ss;Duration;Magnitude;Longitude;Latitude;Depth;Type;File;Valid;Projection;Operator
20090210 165822.85;3;;;;;Sommital;0;0;WGS84;THS
20090210 165900.600;5;;;;;Sommital;0;0;WGS84;THS
20090210 165912.514;26;;;;;Sommital;0;0;WGS84;THS
20090210 170656.257;6;;;;;Sommital;0;0;WGS84;THS
20090210 172545.57;4;;;;;Sommital;0;0;WGS84;THS
20090210 191001.199;18;;;;;Sommital;0;0;WGS84;THS
20090210 200401.922;65;;;;;Effondrement;0;0;WGS84;THS
20090210 202856.142;5;;;;;Sommital;0;0;WGS84;THS
20090210 214311.928;141;;;;;Effondrement;0;0;WGS84;THS
20090210 220303.28;6;;;;;Sommital;0;0;WGS84;THS
20090210 222007.257;3;;;;;Sommital;0;0;WGS84;THS
20090210 232016.399;5;;;;;Sommital;0;0;WGS84;THS
20090211 015430.371;4;;;;;Sommital;0;0;WGS84;THS
20090211 033414.75;8;;;;;Effondrement;0;0;WGS84;THS
20090211 040922.142;5;;;;;Sommital;0;0;WGS84;THS
20090211 050142.769;59;;;;;Effondrement;0;0;WGS84;THS
20090211 050750.828;6;;;;;Sommital;0;0;WGS84;THS
20090211 051949.114;3;;;;;Sommital;0;0;WGS84;THS
20090211 052325.657;5;;;;;Sommital;0;0;WGS84;THS
20090211 054729.571;8;;;;;Sommital;0;0;WGS84;THS
20090211 054747.942;4;;;;;Sommital;0;0;WGS84;THS
20090211 063054.212;101;;;;;Effondrement;0;0;WGS84;THS
20090211 071658.231;49;;;;;Effondrement;0;0;WGS84;THS
20090211 072259.59;37;;;;;Effondrement;0;0;WGS84;THS
20090211 074930.217;41;;;;;Effondrement;0;0;WGS84;THS
20090211 103241.57;5;;;;;Sommital;0;0;WGS84;THS
20090211 110005.314;5;;;;;Sommital;0;0;WGS84;THS
20090211 110754.786;86;;;;;Effondrement;0;0;WGS84;THS
20090211 113042.245;41;;;;;Sommital;0;0;WGS84;THS
